day,Malaysia,Singapore,Indonesia,Brunei,Thailand,Philippines
1,0,0,0,0,4,0
2,0,1,0,0,4,0
3,0,3,0,0,5,0
4,4,3,0,0,6,0
5,4,4,0,0,8,0
6,4,5,0,0,8,0
7,4,7,0,0,14,0
8,7,7,0,0,14,0
9,8,10,0,0,14,1
10,8,13,0,0,19,1
11,8,16,0,0,19,1
12,8,18,0,0,19,2
13,8,18,0,0,19,2
14,10,24,0,0,25,2
15,12,28,0,0,25,2
16,14,28,0,0,25,2
17,15,30,0,0,25,3
18,16,33,0,0,32,3
19,17,40,0,0,32,3
20,18,45,0,0,32,3
21,18,47,0,0,33,3
22,18,50,0,0,33,3
23,18,58,0,0,33,3
24,19,67,0,0,33,3
25,22,72,0,0,34,3
26,22,75,0,0,34,3
27,22,77,0,0,35,3
28,22,81,0,0,35,3
29,22,84,0,0,35,3
30,22,84,0,0,35,3
31,22,85,0,0,35,3
32,22,85,0,0,35,3
33,22,89,0,0,35,3
34,22,89,0,0,35,3
35,22,91,0,0,37,3
36,22,93,0,0,40,3
37,23,93,0,0,40,3
38,25,93,0,0,41,3
39,29,102,0,0,42,3
40,29,106,0,0,42,3
41,29,108,2,0,43,3
42,36,110,2,0,43,3
43,50,110,2,0,43,3
44,55,117,2,0,47,3
45,83,130,4,0,48,5
46,93,138,4,0,50,6
47,99,150,6,0,50,10
48,117,150,19,1,50,20
49,129,160,27,1,53,33
50,149,178,34,11,59,49
51,158,178,34,11,72,52
52,197,200,69,37,75,64
53,238,212,96,40,82,111
54,428,226,117,50,114,140
55,553,243,134,54,147,142
56,673,266,172,56,177,187
57,790,313,227,68,212,202
58,900,345,311,75,272,217
59,1030,385,369,78,322,230
60,1183,432,450,83,411,307
61,1306,455,514,88,599,380
62,1518,509,579,91,721,462
63,1624,558,686,104,827,552
64,1796,631,790,109,934,636
65,2031,683,893,114,1045,707
66,2161,732,1046,115,1136,803
67,2320,802,1155,120,1244,1075
68,2470,844,1285,126,1385,1418
69,2626,879,1414,127,1523,1546
70,2766,926,1528,129,1651,2084
71,2908,1000,1677,131,1771,2311
72,3116,1049,1790,133,1875,2633
73,3333,1114,1986,134,1978,3018
74,3483,1189,2092,135,2067,3094
75,3662,1309,2273,135,2169,3246
76,3793,1375,2491,135,2220,3660
77,3963,1481,2738,135,2258,3764
78,4119,1623,2956,135,2369,3870
79,4228,1910,3293,135,2423,4076
80,4346,2108,3512,136,2473,4195
81,4530,2299,3842,136,2518,4428
82,4683,2532,4241,136,2551,4648
83,4817,2918,4557,136,2579,4932
84,4987,3252,4839,136,2613,5223
85,5072,3699,5136,136,2643,5453
86,5182,4427,5516,136,2672,5660
87,5251,5050,5923,136,2700,5878
88,5305,5992,6248,137,2733,6087
89,5389,6588,6575,138,2765,6259
90,5425,8014,6760,138,2792,6459
91,5482,9125,7135,138,2811,6599
92,5532,10141,7418,138,2826,6710
93,5603,11178,7775,138,2839,6981
94,5691,12075,8211,138,2854,7192
95,5742,12693,8607,138,2907,7294
96,5780,13624,8882,138,2922,7579
97,5820,14423,9096,138,2931,7777
98,5851,14951,9511,138,2938,7958
99,5945,15641,9771,138,2947,8212
100,6002,16169,10118,138,2954,8488
101,6071,17101,10551,138,2960,8772
102,6176,17548,10843,138,2966,8928
103,6298,18205,11192,138,2969,9223
104,6353,18778,11587,138,2987,9485
105,6383,19410,12071,138,2988,9684
106,6428,20198,12438,139,2989,10004
107,6467,20939,12776,141,2992,10343
108,6535,21707,13112,141,3000,10463
109,6589,22460,13645,141,3004,10610
110,6656,23336,14032,141,3009,10794
111,6726,23822,14265,141,3015,11086
112,6742,24671,14749,141,3017,11350
113,6779,25346,15438,141,3017,11618
114,6819,26098,16006,141,3018,11876
115,6855,26891,16496,141,3025,12091
116,6872,27356,17025,141,3025,12305
117,6894,28038,17514,141,3028,12513
118,6941,28343,18010,141,3031,12718
119,6978,28794,18496,141,3033,12942
120,7009,29364,19189,141,3034,13221
121,7059,29812,20162,141,3037,13434
122,7137,30426,20796,141,3037,13597
123,7185,31068,21745,141,3040,13777
124,7245,31616,22271,141,3040,14035
125,7417,31960,22750,141,3042,14319
126,7604,32343,23165,141,3045,14669
127,7619,32876,23851,141,3054,15049
128,7629,33249,24538,141,3065,15588
129,7732,33860,25216,141,3076,16634
130,7762,34366,25773,141,3077,17224
131,7819,34884,26473,141,3081,18086
132,7857,35292,26940,141,3082,18638
133,7877,35836,27549,141,3083,18997
134,7970,36405,28233,141,3084,19748
135,8247,36922,28818,141,3101,20382
136,8266,37183,29521,141,3102,20626
137,8303,37527,30514,141,3104,21340
138,8322,37910,31186,141,3112,21895
139,8329,38296,32033,141,3119,22474
140,8336,38514,33076,141,3121,22992
141,8338,38965,34316,141,3125,23732
142,8369,39387,35295,141,3125,24175
143,8402,39850,36406,141,3129,24787
144,8445,40197,37420,141,3134,25392
145,8453,40604,38277,141,3135,25930
146,8494,40818,39294,141,3135,26420
147,8505,40969,40400,141,3135,26781
148,8515,41216,41431,141,3135,27238
149,8529,41473,42762,141,3141,27799
150,8535,41615,43803,141,3146,28459
151,8556,41833,45029,141,3147,29400
152,8572,42095,45891,141,3148,30052
153,8587,42313,46845,141,3151,30682
154,8590,42432,47896,141,3156,31825
155,8596,42623,49009,141,3157,32295
156,8600,42736,50187,141,3158,33069
157,8606,42955,51427,141,3162,34073
158,8616,43246,52812,141,3162,34803
159,8634,43459,54010,141,3162,35455
160,8637,43661,55092,141,3169,36438
161,8639,43907,56385,141,3171,37514
162,8640,44122,57770,141,3173,38511
163,8643,44310,59394,141,3179,38805
164,8648,44479,60695,141,3180,40336
165,8658,44664,62142,141,3185,41830
166,8663,44800,63749,141,3190,44254
167,8668,44983,64958,141,3195,46333
168,8674,45140,66226,141,3195,47873
169,8677,45298,68079,141,3197,50359
170,8683,45423,70736,141,3202,51754
171,8696,45614,72347,141,3202,52914
172,8704,45783,74018,141,3216,54222
173,8718,45961,75699,141,3217,56259
174,8725,46283,76981,141,3220,57006
175,8729,46630,78572,141,3227,57545
176,8734,46878,80094,141,3232,58850
177,8737,47126,81668,141,3236,61266
178,8755,47453,83130,141,3239,63001
179,8764,47655,84882,141,3246,65304
180,8779,47912,86521,141,3249,67456
181,8800,48035,88214,141,3250,68898
182,8815,48434,89869,141,3255,70764
183,8831,48744,91751,141,3253,72269
184,8840,49098,93657,141,3269,74390
185,8861,49375,95418,141,3279,76444
186,8884,49888,97286,141,3282,78412
187,8897,50369,98778,141,3291,80448
188,8904,50838,100303,141,3295,82040
189,8943,51197,102051,141,3297,83673
190,8956,51531,104432,141,3298,85486
191,8964,51809,106336,141,3304,89374
192,8976,52205,108376,141,3310,93354
193,8985,52512,109936,141,3312,98232
194,8999,52825,111455,141,3317,103185
195,9001,53051,113134,141,3320,106330
196,9002,53346,115056,141,3321,112593
197,9023,54254,116871,141,3328,115980
198,9038,54555,118753,141,3330,119460
199,9063,54797,121226,142,3345,122754
200,9070,54929,123503,142,3348,126885
201,9083,55104,125396,142,3351,129913
202,9094,55292,127083,142,3351,136638
203,9103,55353,128776,142,3351,139538
204,9114,55395,130718,142,3356,143749
205,9129,55497,132816,142,3359,147526
206,9149,55580,135123,142,3376,153660
207,9175,55661,137468,142,3376,157918
208,9200,55747,139549,142,3377,161253
209,9212,55838,141370,142,3378,164474
210,9219,55938,143043,142,3381,169213
211,9235,56031,144945,143,3382,173774
212,9240,56099,147211,143,3389,178022
213,9249,56216,149408,143,3390,182365
214,9257,56266,151498,143,3390,187249
215,9267,56353,153535,143,3395,189601
216,9274,56404,155412,143,3397,194252
217,9285,56435,157859,144,3402,197164
218,9291,56495,160165,144,3403,202361
219,9296,56572,162884,144,3404,205581
220,9306,56666,165887,144,3410,209544
221,9317,56717,169195,144,3411,213131
222,9334,56771,172053,144,3411,217396
223,9340,56812,174796,144,3412,220819
224,9354,56852,177571,144,3417,224264
225,9360,56860,180646,144,3425,226440
226,9374,56908,184268,145,3427,228403
227,9385,56948,187537,145,3431,232072
228,9391,56982,190665,145,3438,234570
229,9397,57022,194109,145,3444,237365
230,9459,57044,196989,145,3445,238727
231,9559,57091,200035,145,3446,241987
232,9583,57166,203342,145,3447,245143
233,9628,57229,207203,145,3454,248947
234,9810,57315,210940,145,3461,252964
235,9868,57357,214746,145,3466,257863
236,9915,57406,218382,145,3473,261216
237,9946,57454,221523,145,3475,265888
238,9969,57488,225030,145,3480,269407
239,10031,57514,228993,145,3490,272934
240,10052,57532,232628,145,3490,276289
241,10147,57543,236519,145,3497,279526
242,10167,57558,240687,145,3500,283460
243,10219,57576,244676,145,3506,286743
244,10276,57606,248852,145,3506,290190
245,10358,57627,252923,145,3511,291789
246,10505,57639,257388,145,3514,294591
247,10576,57654,262022,146,3516,296755
248,10687,57665,266845,146,3519,299361
249,10769,57685,271339,146,3522,301256
250,10919,57700,275213,146,3523,304226
251,11034,57715,278722,146,3545,307288
252,11135,57742,282724,146,3559,309303
253,11224,57765,287008,146,3564,311694
254,11484,57784,291182,146,3569,314079
255,11771,57794,295499,146,3575,316678
256,12088,57800,299506,146,3583,319330
257,12381,57812,303498,146,3585,322497
258,12813,57819,307120,146,3590,324762
259,13504,57830,311176,146,3600,326833
260,13993,57840,315714,146,3615,329637
261,14368,57849,320564,146,3622,331869
262,14722,57859,324658,146,3628,334770
263,15096,57866,328952,146,3634,336926
264,15657,57876,333449,146,3636,339341
265,16220,57880,336716,146,3641,342816
266,16880,57884,340622,146,3643,344713
267,17540,57889,344749,147,3652,346536
268,18129,57892,349160,147,3665,348698
269,18758,57901,353461,147,3669,351750
270,19627,57904,357762,147,3679,354338
271,20498,57911,361867,147,3686,356618
272,21363,57915,365240,147,3691,359169
273,22225,57921,368842,147,3700,360775
274,22957,57933,373109,147,3709,362243
275,23804,57941,377541,148,3719,363888
276,24514,57951,381910,148,3727,365799
277,25742,57965,385980,148,3731,367819
278,26565,57970,389712,148,3736,370028
279,27805,57973,392934,148,3743,371630
280,28640,57980,396454,148,3746,373144
281,29441,57987,400483,148,3758,375180
282,30090,57994,404048,148,3763,376935
283,30889,58003,406945,148,3775,378933
284,31548,58015,410088,148,3780,380729
285,32505,58019,412784,148,3784,383113
286,33339,58020,415402,148,3787,385400
287,34393,58029,418375,148,3797,387161
288,35425,58036,421731,148,3804,388137
289,36434,58043,425796,148,3810,389725
290,38189,58047,429574,148,3818,391809
291,39357,58054,433836,148,3830,393961
292,40209,58056,437716,148,3837,396395
293,41181,58064,440569,148,3840,398449
294,42050,58073,444348,148,3844,399749
295,42872,58091,448118,148,3847,401416
296,43791,58102,452291,148,3852,402820
297,45095,58114,457735,148,3861,404713
298,46209,58116,463007,148,3866,406337
299,47417,58119,467113,148,3874,407838
300,48520,58124,470648,148,3875,409574
301,49730,58130,474455,148,3878,410718
302,50390,58135,478720,148,3880,412097
303,51680,58139,483518,148,3888,413430
304,52638,58143,488310,148,3892,415067
305,53679,58148,493308,148,3902,416852
306,54775,58160,497668,148,3913,418818
307,56659,58165,502110,149,3920,420614
308,58847,58183,506302,150,3922,421722
309,59817,58190,511836,150,3926,422915
310,60752,58195,516753,150,3942,424297
311,61861,58199,522581,150,3961,425918
312,63176,58205,527999,150,3966,427797
313,64485,58213,534266,150,3977,429864
314,65697,58218,538883,150,3998,431630
315,67169,58228,543975,151,4008,432925
316,68020,58230,549508,151,4026,434357
317,69095,58239,557877,151,4039,435413
318,70236,58242,563680,151,4053,436345
319,71359,58255,569707,151,4072,438069
320,72694,58260,575796,151,4086,439834
321,74294,58273,581550,151,4107,441399
322,75306,58285,586842,152,4126,442785
323,76265,58291,592900,152,4151,444164
324,78499,58297,598933,152,4169,445540
325,80309,58305,605243,152,4180,447039
326,82246,58313,611631,152,4192,448331
327,83475,58320,617820,152,4209,449400
328,84846,58325,623309,152,4237,450733
329,86618,58341,629429,152,4246,451839
330,87913,58353,636154,152,4261,452988
331,89133,58377,643508,152,4281,454447
332,90816,58386,650197,152,4297,456562
333,91969,58403,657948,152,4331,458044
334,93309,58422,664930,152,4907,459789
335,95327,58432,671778,152,5289,461505
336,97389,58461,678125,152,5716,462815
337,98737,58482,685639,152,5762,464004
338,100318,58495,692838,152,5829,465724
339,101565,58509,700097,152,5910,467601
340,103900,58519,706837,152,6020,469005
341,105096,58524,713365,152,6141,469886
342,106690,58529,719219,152,6285,470650
343,108615,58542,727122,152,6440,471526
344,110485,58569,735124,157,6690,472532
345,113010,58599,743198,157,6884,474064
346,115078,58629,751270,157,7163,475820
347,117373,58662,758473,157,7379,476916
348,119077,58697,765350,172,7694,477807
349,120818,58721,772103,172,8439,478761
350,122845,58749,779548,172,8966,479693
351,125438,58780,788402,172,9331,480737
352,128465,58813,797723,173,9636,482083
353,131108,58836,808340,173,9841,483852
354,133559,58865,818386,173,10053,485797
355,135992,58907,828026,173,10298,487690
356,138224,58929,836718,173,10547,489736
357,141533,58946,846765,174,10834,491258
358,144518,58984,858043,174,10991,492700
359,147855,59029,869600,174,11262,494605
360,151066,59059,882418,174,11450,496646
361,155095,59083,896642,174,11680,498691
362,158434,59113,907929,174,12054,500577
363,161740,59127,917015,174,12423,502736
364,165371,59157,927380,174,12594,504084
365,169379,59197,939948,174,12653,505939
366,172549,59235,951651,174,12795,507717
367,176180,59250,965283,175,13104,509887
368,180455,59260,977474,175,13302,511679
369,183801,59308,989262,175,13500,513619
370,186849,59352,999256,175,13687,514996
371,190434,59366,1012350,176,14646,516166
372,194114,59391,1024298,176,15465,518407
373,198208,59425,1037993,180,16221,519575
374,203933,59449,1051795,180,17023,521413
375,209661,59507,1066313,180,17953,523516
376,214959,59536,1078314,180,18782,525618
377,219173,59565,1089308,180,19618,527272
378,222628,59584,1099687,180,20454,528853
379,226912,59602,1111671,180,21249,530118
380,231483,59624,1123105,180,22058,531699
381,234874,59649,1134854,180,22644,533587
382,238721,59675,1147010,181,23134,535521
383,242452,59699,1157837,181,23371,537310
384,245552,59721,1166079,182,23557,538995
385,248316,59732,1174779,182,23746,540227
386,251604,59747,1183555,182,23903,541560
387,254988,59759,1191990,183,24104,543282
388,258306,59777,1201859,184,24279,545300
389,261805,59786,1210703,184,24405,547255
390,264269,59800,1217468,184,24571,549176
391,266445,59809,1223930,184,24714,550860
392,269165,59810,1233959,184,24786,552246
393,272163,59821,1243646,185,24961,553424
394,274875,59832,1252685,185,25111,555163
395,277811,59846,1263299,185,25241,557058
396,280272,59858,1271353,185,25323,559288
397,283569,59869,1278653,185,25415,561169
398,285761,59879,1288833,185,25504,563456
399,288229,59883,1298608,185,25599,564865
400,291774,59890,1306141,185,25692,566420
401,293698,59900,1314634,185,25764,568680
402,295951,59913,1322866,185,25809,571327
403,298315,59925,1329074,186,25881,574247
404,300752,59936,1334634,186,25951,576352
405,302580,59948,1341314,186,26031,578381
406,304135,59956,1347026,187,26073,580442
407,305880,59979,1353834,187,26108,582223
408,307943,59998,1361098,188,26162,584667
409,310097,60007,1368069,188,26241,587704
410,311777,60020,1373836,189,26305,591138
411,313460,60033,1379662,189,26370,594412
412,314989,60046,1386556,190,26441,597763
413,316269,60052,1392945,191,26501,600428
414,317717,60062,1398578,192,26540,603308
415,319364,60070,1403722,192,26598,607048
416,320939,60080,1410134,192,26679,611618
417,322409,60088,1414741,192,26757,616611
418,323763,60105,1419455,199,26927,621498
419,324971,60117,1425044,199,27005,626893
420,326034,60128,1430458,202,27154,631320
421,327253,60137,1437283,203,27400,635698
422,328466,60152,1443853,203,27492,640984
423,330042,60167,1450132,203,27592,648066
424,331713,60184,1455788,205,27713,656056
425,333040,60196,1460184,206,27803,663794
426,334156,60208,1465928,206,27876,671792
427,335540,60221,1471225,206,28277,677653
428,336808,60236,1476452,206,28346,684311
429,338168,60253,1482559,206,28443,693048
430,339443,60265,1487541,206,28577,702856
431,340642,60288,1492002,206,28657,712442
432,341944,60300,1496085,207,28734,721892
433,342885,60321,1501093,207,28773,731894
434,344018,60347,1505775,210,28821,741181
435,345500,60381,1511712,212,28863,747288
436,346678,60407,1517854,213,28889,756199
437,347972,60450,1523179,213,28947,771497
438,349610,60468,1527524,214,29031,784043
439,350959,60478,1534255,214,29127,795051
440,352029,60495,1537967,214,29321,803398
441,353329,60519,1542516,214,29571,812760
442,354468,60554,1547376,215,29905,819164
443,355753,60575,1552880,216,30310,828366
444,357607,60601,1558145,219,30869,840554
445,359117,60633,1562868,219,31658,853209
446,360856,60653,1566995,219,32625,864868
447,362173,60678,1571824,219,33610,876225
448,363940,60692,1577526,219,34575,884783
449,365829,60719,1583182,219,35913,892880
450,367977,60735,1589359,221,37456,904285
451,370528,60769,1594722,221,39038,914971
452,372859,60808,1599763,221,40585,926052
453,375054,60831,1604348,221,42352,936133
454,377132,60851,1609300,221,43742,945745
455,379473,60865,1614849,223,45185,953106
456,381813,60880,1620569,223,46643,962307
457,384688,60904,1626812,223,48113,971049
458,387535,60943,1632248,223,50183,979740
459,390252,60966,1636792,223,53022,989380
460,392942,61006,1641194,223,55460,997523
461,395718,61051,1647138,223,57508,1006428
462,398451,61063,1651794,223,59687,1013618
463,401593,61086,1657035,224,61699,1020495
464,404925,61121,1662868,224,63570,1028738
465,408713,61145,1668368,224,65153,1037460
466,411594,61179,1672880,227,67044,1046653
467,415012,61218,1677274,227,68984,1054983
468,417512,61235,1682004,227,71025,1062225
469,420632,61252,1686373,228,72788,1067892
470,424376,61268,1691658,228,74900,1073555
471,427927,61286,1697305,228,76811,1080172
472,432425,61311,1703632,229,78855,1087885
473,436944,61331,1709762,230,81274,1094849
474,440677,61359,1713684,230,83375,1101990
475,444484,61378,1718575,230,85005,1108826
476,448457,61403,1723596,230,86924,1113547
477,453222,61419,1728204,231,88907,1118359
478,458077,61453,1731652,232,93794,1124724
479,462190,61505,1734285,232,96050,1131467
480,466330,61536,1736670,232,99145,1138187
481,470110,61585,1739750,232,101447,1143963
482,474556,61613,1744045,232,111082,1149925
483,479421,61651,1748230,232,113555,1154388
484,485496,61689,1753101,235,116949,1159071
485,492302,61730,1758898,235,119585,1165155
486,498795,61770,1764644,235,123066,1171403
487,505115,61799,1769940,235,126118,1178217
488,512091,61824,1775220,235,129500,1179812
489,518600,61860,1781127,236,132213,1184706
490,525889,61890,1786187,236,135439,1188672
491,533367,61916,1791221,240,137894,1193976
492,541224,61940,1797499,241,141217,1200430
493,549514,61970,1803361,241,144976,1209154
494,558534,62003,1809926,241,149779,1216582
495,565533,62028,1816041,241,154307,1223627
496,572357,62051,1821703,242,159792,1230301
497,579462,62069,1826527,244,162022,1235467
498,587165,62100,1831773,244,165462,1240716
499,595374,62145,1837126,244,169348,1247899
500,603122,62158,1843612,244,171979,1255337
501,610574,62176,1850206,244,174796,1262273
502,616815,62196,1856038,244,177467,1269478
503,622086,62210,1863031,244,179886,1276004
504,627652,62219,1869325,246,182548,1280773
505,633891,62223,1877050,246,185228,1286217
506,639562,62236,1885942,248,187538,1293687
507,646411,62245,1894025,248,189828,1300349
508,652204,62263,1901490,248,193105,1308352
509,657508,62276,1911358,248,195909,1315639
510,662457,62301,1919547,248,199264,1322053
511,667876,62315,1927708,250,202264,1327431
512,673026,62339,1937652,250,204595,1332832
513,678764,62366,1950276,250,207724,1339457
514,685204,62382,1963266,251,210782,1346276
515,691115,62403,1976172,251,214449,1353220
516,696408,62414,1989909,255,218131,1359015
